"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","p_adj","term_name","effective_domain_size","source_order","parents"
"hubs",FALSE,0.869920511106159,6,20,6,0.3,1,"GO:0030031","GO:BP",0.869920511106159,"cell projection assembly",42,6622,"GO:0022607,GO:0030030"
"hubs",FALSE,0.869920511106159,3,20,2,0.1,0.666666666666667,"GO:0030036","GO:BP",0.869920511106159,"actin cytoskeleton organization",42,6627,"GO:0007010,GO:0030029"
"hubs",FALSE,0.869920511106159,1,20,1,0.05,1,"GO:0071404","GO:BP",0.869920511106159,"cellular response to low-density lipoprotein particle stimulus",42,16426,"GO:0055094,GO:0071402"
"hubs",FALSE,0.869920511106159,1,20,1,0.05,1,"GO:0071402","GO:BP",0.869920511106159,"cellular response to lipoprotein particle stimulus",42,16424,"GO:0051716"
"hubs",FALSE,0.869920511106159,5,20,3,0.15,0.6,"GO:0071363","GO:BP",0.869920511106159,"cellular response to growth factor stimulus",42,16385,"GO:0070848,GO:0071495"
"hubs",FALSE,0.869920511106159,17,20,9,0.45,0.529411764705882,"GO:0030154","GO:BP",0.869920511106159,"cell differentiation",42,6654,"GO:0048869"
"hubs",FALSE,0.869920511106159,1,20,1,0.05,1,"GO:0071344","GO:BP",0.869920511106159,"diphosphate metabolic process",42,16366,"GO:0006793,GO:0043436"
"hubs",FALSE,0.869920511106159,1,20,1,0.05,1,"GO:0030278","GO:BP",0.869920511106159,"regulation of ossification",42,6718,"GO:0001503,GO:0051239"
"hubs",FALSE,0.869920511106159,1,20,1,0.05,1,"GO:0030282","GO:BP",0.869920511106159,"bone mineralization",42,6720,"GO:0001503,GO:0031214"
"hubs",FALSE,0.869920511106159,1,20,1,0.05,1,"GO:0071305","GO:BP",0.869920511106159,"cellular response to vitamin D",42,16332,"GO:0033280,GO:0071295,GO:0071396,GO:1901701"
"hubs",FALSE,0.869920511106159,1,20,1,0.05,1,"GO:0071456","GO:BP",0.869920511106159,"cellular response to hypoxia",42,16459,"GO:0001666,GO:0033554,GO:0036294"
"hubs",FALSE,0.869920511106159,3,20,2,0.1,0.666666666666667,"GO:0050920","GO:BP",0.869920511106159,"regulation of chemotaxis",42,13190,"GO:0006935,GO:0032101,GO:0040012"
"hubs",FALSE,0.869920511106159,9,20,5,0.25,0.555555555555556,"GO:0071495","GO:BP",0.869920511106159,"cellular response to endogenous stimulus",42,16497,"GO:0009719"
"hubs",FALSE,0.869920511106159,1,20,1,0.05,1,"GO:0071529","GO:BP",0.869920511106159,"cementum mineralization",42,16519,"GO:0034505"
"hubs",FALSE,0.869920511106159,1,20,1,0.05,1,"GO:0021756","GO:BP",0.869920511106159,"striatum development",42,6305,"GO:0021544,GO:0048856"
"hubs",FALSE,0.869920511106159,3,20,3,0.15,1,"GO:0021761","GO:BP",0.869920511106159,"limbic system development",42,6309,"GO:0030900,GO:0048731"
"hubs",FALSE,0.869920511106159,1,20,1,0.05,1,"GO:0021766","GO:BP",0.869920511106159,"hippocampus development",42,6314,"GO:0021543,GO:0021761,GO:0048856"
"hubs",FALSE,0.869920511106159,1,20,1,0.05,1,"GO:0021769","GO:BP",0.869920511106159,"orbitofrontal cortex development",42,6317,"GO:0021761,GO:0048856"
